№ Участника,Наименование участника,"БИН (ИНН, УНП)",ИИН,РНН
194427,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИА-ФАРМ""",030940007470,,
194367,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZEN MED""",210540027568,,
194207,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ROGERS PHARMA""",130440030943,,
194167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР РЕАБИЛИТАЦИИ КИПР МЕД""",210340030665,,
194107,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР УСЛУГ ДНК ТЕСТИРОВАНИЯ NEW LIFE""",140440019786,,
193987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЗИЦЕНТРЗЕЙНЕП""",180540027788,,
193947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУАНЫШ КОМФОРТ""",190440019804,,
193907,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗАХСТАНСКИЙ ГОМЕОПАТИЧЕСКИЙ МЕДИЦИНСКИЙ ЦЕНТР""",990540005250,,
193827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРО МЕД STAR""",121040009048,,
193767,"ТОО ""МЕДИЦИНСКИЙ ЦЕНТР ""АСПАНДИЯР""""",200240004188,,
193727,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШЫМКЕНТ КУРЫЛЫС СЕРВИС""",210440024877,,
193547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DINASTIYA GROUP""",210340027293,,
193507,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""МНОГОПРОФИЛЬНАЯ ОБЛАСТНАЯ ДЕТСКАЯ БОЛЬНИЦА"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ""",201240013776,,
193347,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""LIFEMED HOLDING""",141240005424,,
193287,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDINA ЕМДЕУ ОРТАЛЫҒЫ""",201140024232,,
192987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМАРАЛИ""",160940002035,,
192947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""QAMQOR CLINIC""",210340018958,,
192387,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DEMEU DENT""",210240017877,,
192307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""CROCUS DENT""",160240004090,,
192167,"КОММУНАЛЬНОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ “ПАВЛОДАРСКИЙ ОБЛАСТНОЙ ЦЕНТР РЕАБИЛИТАЦИИ ЛИЦ С ОГРАНИЧЕННЫМИ ВОЗМОЖНОСТЯМИ” УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ ПАВЛОДАРСКОЙ ОБЛАСТИ, АКИМАТА ПАВЛОДАРСКОЙ ОБЛАСТИ",161140006707,,
192127,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР АЙМЕД""",081140014004,,
192067,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МРТ 24""",201040024912,,
192007,"ТОО ""МИКРОБ""",210240037287,,
191907,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""FRIENDS CLINIC""",201240003957,,
191827,"ИП ""ТОЛЫБАЕВА МАДИНА АДИЛБЕКОВНА""",,870216401742,
191747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА ""КОСМО-ДЕНТ""",110340007307,,
191707,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТАМБАЙ""",940640001153,,
191627,"""""THE SKIN DOCTORS"""" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",181140029386,,
191587,ИП ЗАЛГАРАЕВА ДАНА,,800810401709,
191547,"""ALATAU-LAB"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",210240012458,,
191447,"ТОО ""РАУЗА-АДЕ""",081240006121,,
191387,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""QAMQOR MEDICAL CENTER""",200440006084,,
191307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NG COM""",210240001424,,
191247,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ЫГИЕВА АКТОТЫ,,820405400287,
191207,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""FLEXY PHARM""",020340000539,,
191107,ТОО «DentalQaz»,210440041361,,
190887,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ASTRAMED""",210440018055,,
190807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОНАМЕД""",061140012525,,
190767,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЕЙШИЕ ТЕХНОЛОГИИ РЕАБИЛИТАЦИИ""",160440016264,,
190707,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AKTOBE MED SERVICE""",200140038267,,
190627,"ТОО ""ОРТОЛАЙН""",120940001738,,
190587,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИФОРНИЙСКИЙ ЦЕНТР КРАСОТЫ И АНТИВОЗРАСТНОЙ МЕДИЦИНЫ""",171240023785,,
190527,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TENGRI MED""",200340005746,,
190487,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KHADISHA-MED""",210540032336,,
190387,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ЕВРАЗИЯ""",030240001347,,
190367,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DIPORTO""",170140008963,,
190267,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""CENTRAL ASIA MEDICAL INDUSTRIES""",991040003090,,
190207,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР EMIRMED""",160140010160,,
190147,"ТОО ""Medical Solution (Медикал Солюшн)""",191240016309,,
190007,ИП БЕКБУЛАТОВА НАДИРА,,810209401030,
189927,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""INJY",190140029246,,
189867,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MIRAS MED""",200840013884,,
189807,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""STANFORD MEDICAL"" (СТЭНФОРД МЕДИКАЛ)",191240018603,,
189767,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Medi TEC-NS""",060140000579,,
189747,"РУДНЕНСКИЙ ФИЛИАЛ ТОО ""МЕДИЦИНСКИЙ ЦЕНТР ЕВРАЗИЯ""",171141012365,,
189667,ИП КАСИМОВ,,861211302450,
189607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""VESTRI MEDICUS""",200940028201,,
189547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НУРДАГАЗ""",200240005574,,
189507,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TENGIZ CLINIC"" (ТЕНГИЗ КЛИНИК)",200840021181,,
189447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИРКОН""",000640000467,,
189407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""«МЕДИЦИНСКИЙ ЦЕНТР «САЛИХ»""",201240011809,,
189367,ИП ОРАЗБАЕВ АЙДАРХАН,,660920300612,
189247,"ТОО ""ТАХЕТ""",000840004833,,
189107,"ТОО ""OPTIKON-KRG""",190740019885,,
188987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AJAR COMPANY""",190940017608,,
188947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DOSTAR DENT""",210340031231,,
188907,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEC LAB""",200540000356,,
188847,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НУРДАУЛЕТ-А""",010240009369,,
188767,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""МАНГИСТАУСКИЙ ОБЛАСТНОЙ ЦЕНТР ФТИЗИОПУЛЬМОНОЛОГИИ"" УПРАВЛЕНИЯ ЗДРАВООХРАНЕНИЯ МАНГИСТАУСКОЙ ОБЛАСТИ",210440041301,,
188727,"ФИЛИАЛ ""АТЫРАУСКАЯ ПРОТИВОЧУМНАЯ СТАНЦИЯ"" РЕСПУБЛИКАНСКОГО ГОСУДАРСТВЕННОГО ПРЕДПРИЯТИЯ НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ""НАЦИОНАЛЬНЫЙ НАУЧНЫЙ ЦЕНТР ОСОБО ОПАСНЫХ ИНФЕКЦИЙ ИМЕНИ МАСГУТА АЙКИМБАЕВА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КАЗАХСТАН",200241009463,,
188607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""EXTRAMEDICAL""",140940020341,,
188547,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AVCARE LTD"" (АВКЕЙР ЛТД)",090840015964,,
188307,"ТОО ""Alta life""",120140013861,,
188087,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DIAMOND DENTAL CLINIC""",190940011222,,
188047,"ТОО ""Mediscan Group""",191040014653,,
187987,"ТОО ""ЭКОМЕД-ТУРКЕСТАН""",201240032079,,
187947,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРКЕНМЕД""",200840005030,,
187907,"ТОО ""ДЕНСАУЛЫҚ МЕКЕНІ""",200840004499,,
187867,ИП ХОДЖАЕВ БАХТЖАН АКРАМОВИЧ,,860503399031,
187827,ИП КУБЕТАЕВ НУРБОЛ,,870819301477,
187787,ИП КАРАБАСОВА БОТАГОЗ,,690914400057,
187707,ИП ЖУЗБАЕВА КЛАРА,,961209400202,
187607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NEO DENT COMPANY""",120540009709,,
187527,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ASEM MEDICAL""",160140011644,,
187487,"ТОО ""ARAIMED""",200640031974,,
187447,ИП ПАК ЭЛЬМИРА,,831005401027,
187387,"ТОО ""ALMASEMED""",170740034280,,
187307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТУДЕНЧЕСКАЯ ПОЛИКЛИНИКА""",201040003928,,
187247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНАТОРИЙ АЛМАЗ""",100140011178,,
187207,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DAMED-2020""",200440003555,,
187167,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗИНВЕСТ-НС""",151240003063,,
187087,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""TIG MEDICAL""",210340035472,,
186827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AYALA ZERGER""",190340025002,,
186787,ИП ШЕРСТОВА,,740820402193,
186747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОКСЕЛЬ-ЕВРАЗИЯ""",191040006474,,
186687,ИП АКБЕРГЕНОВ ДАНИЯР,,860619302555,
186607,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZEIN INVEST"" В ГОРОДЕ ПЕТРОПАВЛОВСК",210441014306,,
186487,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНАТОРИЙ АСЕМ АЙ""",210240017470,,
186447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАРЛАН К""",190140033086,,
186407,"ТОВАРИЩЕСТВО С ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДАЛ КӘСІП""",210440006610,,
186327,ИП Саржанова А.Б.,,850723401349,
186287,"ГОСУДАРСТВЕННОЕ КОММУНАЛЬНОЕ ПРЕДПРИЯТИЕ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 7"" НА ПРАВЕ ХОЗЯЙСТВЕННОГО ВЕДЕНИЯ ГОСУДАРСТВЕННОГО УЧРЕЖДЕНИЯ ""УПРАВЛЕНИЕ ЗДРАВООХРАНЕНИЯ АКТЮБИНСКОЙ ОБЛАСТИ""",201240014655,,
186247,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАҢЫРАҚ-МЕДИА""",020140002924,,
186187,"ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОФТАЛЬМОЛОГИЧЕСКАЯ КЛИНИКА “КӨЗҚАРАС-АЛМАТЫ"" В ГОРОДЕ КАСКЕЛЕН",200941025480,,
186087,"""МЕДИЦИНСКИЙ ЦЕНТР ""АЛЬ-ФАРАБИ"""" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",200340024029,,
186047,ИП ИМАНГАЛИЕВА З.М.,,860603401982,
185967,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MEDICUS MERIDIAN""",170440006918,,
185927,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SOCIAL DENT""",210340004224,,
185887,ИП ДАУЫЛБАЕВА НАРГИЗА,,890322402700,
185847,"Товарищество с ограниченной ответственностью ""КАЗ МЕД ПРОМ""",110640007167,,
185827,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""АНТИГЕН""",980340000548,,
185687,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САМҒАУ ФАРМ""",080440011569,,
185647,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SAMGAU MEDGROUP""",140640022812,,
185607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИОХИМПРИБОР""",021240000865,,
185547,"""N CLINIC"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",190940010214,,
185507,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮВЕНТАМЕД""",970340000645,,
185427,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТАНА СИТИ ГРУПП""",130940000444,,
185367,ИП АДЫРБЕКОВА ГҮЛНАЗ,,730708401749,
185307,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ФОРМИРОВАНИЯ ЗДОРОВОГО ОБРАЗА ЖИЗНИ ТУРКЕСТАНСКОЙ ОБЛАСТИ""",990940002499,,
185267,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕНИКС-СК""",001240002342,,
185167,"""СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА «AXIS DENT»"" ЖАУАПКЕРШІЛІГІ ШЕКТЕУЛІ СЕРІКТЕСТІГІ",151140008368,,
185107,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКСОН МЕД""",210340016228,,
185007,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""METROPOLITAN KIDS""",190440024523,,
184907,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИЦИНСКИЙ ЦЕНТР ""МАСТЕР-ДЕНТ""",020640004502,,
184887,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТИТУТ МОЛЕКУЛЯРНОЙ МЕДИЦИНЫ""",081040018534,,
184807,"ТОО ""THE BIG IDEA""",210140009604,,
184747,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШЫМКЕНТСКИЙ ГОРОДСКОЙ ЦЕНТР ФОРМИРОВАНИЯ ЗДОРОВОГО ОБРАЗА ЖИЗНИ""",180840017147,,
184667,"КХ ""ЗАРУ""",170864008474,,
184567,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВАЙТРАН""",191140018025,,
184527,ИП ТИЛЕУБАЕВ АЛИБАЙ,,650322300411,
184447,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""KHAN STOM""",200140005124,,
184407,"ИП ""РУСТЕМБАЕВ ТЕМИРХАН АБДИНУРОВИЧ""",,610129302194,
184327,"ОБЪЕДИНЕНИЕ ЮРИДИЧЕСКИХ ЛИЦ ""АССОЦИАЦИЯ ДИСТРИБЬЮТОРОВ ФАРМАЦЕВТИЧЕСКОЙ ПРОДУКЦИИ РЕСПУБЛИКИ КАЗАХСТАН""",981240016058,,
184287,ИП Марал-Мед,,840907400646,
184227,"""LIFE - MEDICUS"" ЖШС",070740011825,,
184167,"ТОО ""DANA MEDICAL CENTER""",210140025100,,
184107,"ОБЪЕДИНЕНИЕ ЮРИДИЧЕСКИХ ЛИЦ В ФОРМЕ АССОЦИАЦИИ ""АССОЦИАЦИЯ ПРОИЗВОДИТЕЛЕЙ МЕДИЦИНСКИХ ИЗДЕЛИЙ""",180640029768,,
184047,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛИКМЕД""",180740027339,,
184007,ИП ЕРМАХАНУЛЫ НУРЖАН,,761225301120,
183967,ИП ХАЛЖИГИТОВА РАУШАНА,,850917000171,
183927,ИП ЖАРКИНБАЕВ ТАЛГАТ,,780424302210,
183867,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВОЕ ПОКОЛЕНИЕ-2017""",170140011597,,
183767,"Товарищество с ограниченной ответственностью ""A-Class Med""",130740012351,,
183727,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DIAMOND DENT""",190240034206,,
183667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕЧЕБНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ""УМИТ""",030140009041,,
183607,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ATHLON""",210140029014,,
183507,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОСОЛ""",191040009479,,
183407,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕД ЦЕНТР ""МЕДИНА"" (МЕД ЦЕНТР МЕДИНА)""",170240033839,,
183347,ИП МУСИНА КАМА,,710711400941,
183287,ИП АМИРХАНОВ ЕРАЛЫ,,890724300842,
183227,"РЕСПУБЛИКАНСКОЕ ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ""ВОЙСКОВАЯ ЧАСТЬ 18386"" МИНИСТЕРСТВА ОБОРОНЫ РЕСПУБЛИКИ КАЗАХСТАН",010540003485,,
183167,ИП МЫРЗАБЕКОВ ЕРКЕБУЛАН,,870413300560,
183087,"МЕДИЦИНСКОЕ УЧРЕЖДЕНИЕ СТОМАТОЛОГИЧЕСКАЯ КЛИНИКА ""БИОДЕНТ""",010140005471,,
183047,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""RASUL DENT""",090740018559,,
182987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ """"ЦЕНТР TРАНСФЕРТА ИННОВАЦИОННЫХ И ОБРАЗОВАТЕЛЬНЫХ ТЕХНОЛОГИЙ В ПМСП""""",210240031684,,
182947,ИП АЖАЙПОВА АНАР,,900622402191,
182847,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАРМ ЦЕНТР ""ШОЛПАНАЙ""",081140005922,,
182787,ИП ШАЛДАНБАЕВА РАХИМА,,750531402392,
182647,"ИП ""Ауелбекова Р.И.""",,750831400694,
182507,ИП БИЛИБАЕВ СЕЙТЖАН,,870304301635,
182207,ИП КУСАИНОВ СКАК,,570101303427,
182087,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮЛМА""",151140016399,,
182027,"ИП ""ТИЛЕУБЕРГЕНОВ""",,740707301878,
181987,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BAYANSULU CLINIC""",201140022266,,
181927,"ИП ""ABU NURDAULET""",,931226301162,
181827,ИП ҚАЗЫБАЙҰЛЫ ЖЕҢІС,,850508301294,
181727,ИП РДЦмед,,780808400426,
181667,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЛЬТРАС""",141040005833,,
181607,ИП КӘУСӘР,,840919300546,
181507,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕСИЛЬ-МЕД""",181240025466,,
181467,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""AIR MED""",180940032560,,
181387,"САМОРЕГУЛИРУЕМАЯ ОРГАНИЗАЦИЯ КАЗАХСТАНСКИЙ СОЮЗ ЮРИДИЧЕСКИХ ЛИЦ И ИНДИВИДУАЛЬНЫХ ПРЕДПРИНИМАТЕЛЕЙ ""PARTNERSHIP FOR SOCIAL SERVICE DEVELOPMENT ""ONEGE""",200840012494,,
181267,ИП СЫЗДЫКОВА ЛЯЗЗАТ,,811216400736,
181187,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""CORWAY""",160140014430,,
181147,ИП БЕКЕНОВА КЕНЖЕТАЙ,,661126450285,
181127,"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРПОРАЦИЯ АКНИЕТ""",201140008825,,
